owner_id,owner_url,owner_type,owner_repute,tags,score,view_count,answer_count,last_edit_date,last_activity_date,creation_date,q_id,q_link,q_title
8741,https://stackoverflow.com/users/8741/profk,registered,41090,javascript&typescript&visual-studio&visual-studio-2017&gulp,2,181,2,1582121474,1582121474,1573126126,58747823,https://stackoverflow.com/questions/58747823/duplicate-function-implementation,Duplicate Function Implementation
9074091,https://stackoverflow.com/users/9074091/chaouki-anass,registered,279,android,9,4590,3,1564558271,1582111291,1564510507,57277759,https://stackoverflow.com/questions/57277759/getactivenetworkinfo-is-deprecated-in-api-29,getActiveNetworkInfo() is deprecated in API 29
10866877,https://stackoverflow.com/users/10866877/caption-newt,registered,573,ios&swift&kingfisher,1,1110,3,1548422416,1582110505,1548421490,54365906,https://stackoverflow.com/questions/54365906/cannot-convert-value-of-type-to-expected-argument-type-completionha,Cannot convert value of type &#39;(_) -&gt; ()&#39; to expected argument type &#39;CompletionHandler?&#39; using KingFisher Swift
5548416,https://stackoverflow.com/users/5548416/nikolas-soares,registered,139,spring-boot&cookies&samesite,3,11316,3,1582109897,1582109897,1571103291,58386069,https://stackoverflow.com/questions/58386069/how-to-set-same-site-cookie-flag-in-spring-boot,How to set same-site cookie flag in Spring Boot?
11039513,https://stackoverflow.com/users/11039513/brian-omondi,registered,43,react-native&expo,2,6411,3,1562497760,1582109621,1562483431,56920061,https://stackoverflow.com/questions/56920061/errors-after-running-expo-start,errors after running expo start
10153626,https://stackoverflow.com/users/10153626/abc,registered,461,javascript&node.js&angular&typescript&angular8,2,284,4,1573533644,1582121035,1573531177,58811819,https://stackoverflow.com/questions/58811819/how-to-fix-ng-build-project-in-angular,How to fix ng build project in angular
6311080,https://stackoverflow.com/users/6311080/md-sazid-hasan-dip,registered,534,android-studio&flutter&dart&flutter-dependencies&macos-catalina,4,2209,4,1582120160,1582120160,1571116228,58387606,https://stackoverflow.com/questions/58387606/flutter-app-running-error-dart-can-not-be-opened-developer-can-not-be-verified,"Flutter App Running Error: Dart can not be opened, Developer can not be verified after upgrading to Catalina"
1008642,https://stackoverflow.com/users/1008642/iwnnay,registered,1287,cygwin&jestjs,0,503,4,1550738505,1582116657,1550537218,54757386,https://stackoverflow.com/questions/54757386/watch-is-not-supported-without-git-hg-with-cygwin-jest-and-git,&quot;--watch is not supported without git/hg&quot; with cygwin jest and git
5933587,https://stackoverflow.com/users/5933587/boney,registered,1538,javascript&arrays&node.js,4,2060,4,1581386949,1582116035,1556173814,55843097,https://stackoverflow.com/questions/55843097/does-spread-operator-affect-performance,Does spread operator affect performance?
10408494,https://stackoverflow.com/users/10408494/roland-lariotte,registered,324,swift&extension-methods&uialertcontroller&uiactionsheet&uialertaction,-1,311,4,1560439579,1582111106,1560422826,56578783,https://stackoverflow.com/questions/56578783/how-to-create-a-reusable-uialert-actionsheet-as-an-uiviewcontroller-extension,How to create a reusable UIAlert ActionSheet as an UIViewController extension?
10981137,https://stackoverflow.com/users/10981137/doodoo,registered,31,html&css&background-image&background-color,2,585,4,1568294047,1582111005,1548707584,54409874,https://stackoverflow.com/questions/54409874/how-to-make-background-color-same-as-image,How to make background color same as image?
6182475,https://stackoverflow.com/users/6182475/burndowntheigloo,registered,415,firebase&google-cloud-firestore&google-cloud-functions&google-oauth&firebase-cli,31,7372,8,1574545311,1582118632,1569558468,58127896,https://stackoverflow.com/questions/58127896/error-could-not-load-the-default-credentials-firebase-function-to-firestore,Error: Could not load the default credentials (Firebase function to firestore)
11509150,https://stackoverflow.com/users/11509150/sanif,registered,25,python&django,-3,9044,9,1569867916,1582107398,1558002161,56166319,https://stackoverflow.com/questions/56166319/python-django-error-oserror-winerror-123-the-filename-directory-name-or-vol,"Python django error OSError: [WinError 123] The filename, directory name, or volume label syntax is incorrect: &#39;&lt;frozen importlib._bootstrap&gt;&#39;"
10724050,https://stackoverflow.com/users/10724050/alice,registered,171,python&tensorflow&keras&keras-layer&tf.keras,12,17776,10,1554298446,1582116770,1554297826,55496289,https://stackoverflow.com/questions/55496289/how-to-fix-attributeerror-module-tensorflow-has-no-attribute-get-default-gr,How to fix &quot;AttributeError: module &#39;tensorflow&#39; has no attribute &#39;get_default_graph&#39;&quot;?
10593053,https://stackoverflow.com/users/10593053/leemur,registered,2523,ios&objective-c&wkwebview,215,38293,11,1580227031,1582115520,1570704271,58321114,https://stackoverflow.com/questions/58321114/why-i-get-the-console-warning-process-kill-returned-unexpected-error-1-when,Why I get the console warning: [Process] kill() returned unexpected error 1 when I load a WKWebView in iOS13.2?
