,owner,score,last_edit_date,last_activity_date,creation_date,post_type,post_id,post_link
0,https://stackoverflow.com/users/8084078/user5349,-1,no_value,2019-10-07 20:03:27,2019-09-21 02:21:52,question,58036793,https://stackoverflow.com/q/58036793
1,https://stackoverflow.com/users/5632412/bill-moore,2,no_value,2019-10-07 20:00:42,2019-08-22 13:14:48,question,57610231,https://stackoverflow.com/q/57610231
2,https://stackoverflow.com/users/9893527/peter-tester,2,no_value,2019-10-07 19:58:34,2019-02-21 08:05:40,question,54802087,https://stackoverflow.com/q/54802087
3,https://stackoverflow.com/users/10800938/incertus,0,no_value,2019-10-07 19:57:54,2019-01-24 10:30:53,question,54344498,https://stackoverflow.com/q/54344498
4,https://stackoverflow.com/users/3251692/ryan-barrett,0,2019-10-07 19:53:33,2019-10-07 19:53:33,2019-09-28 21:46:40,question,58150554,https://stackoverflow.com/q/58150554
5,https://stackoverflow.com/users/7180194/mithu,4,no_value,2019-10-07 19:53:07,2019-09-28 16:18:30,question,58148170,https://stackoverflow.com/q/58148170
6,https://stackoverflow.com/users/11012114/asad-iftikhar,1,2019-10-07 19:53:06,2019-10-07 19:53:06,2019-03-11 07:01:17,question,55096666,https://stackoverflow.com/q/55096666
7,https://stackoverflow.com/users/10946899/maik,1,2019-10-07 19:52:01,2019-10-07 19:52:01,2019-07-29 19:03:41,question,57259985,https://stackoverflow.com/q/57259985
8,https://stackoverflow.com/users/5081021/jurrian,0,2019-10-07 19:51:29,2019-10-07 19:51:29,2019-09-30 22:53:44,question,58176193,https://stackoverflow.com/q/58176193
9,https://stackoverflow.com/users/352959/king-julien,0,no_value,2019-10-07 19:51:13,2019-06-24 20:33:33,question,56743583,https://stackoverflow.com/q/56743583
10,https://stackoverflow.com/users/11217149/ikponmwosa-osazuwa,2,2019-10-07 19:15:38,2019-10-07 19:50:58,2019-03-17 18:00:12,question,55210213,https://stackoverflow.com/q/55210213
11,https://stackoverflow.com/users/8015952/gabriela-mendes,0,2019-10-07 19:44:11,2019-10-07 19:44:11,2019-09-10 13:25:06,answer,57871816,https://stackoverflow.com/a/57871816
12,https://stackoverflow.com/users/8015952/gabriela-mendes,0,no_value,2019-10-07 19:44:11,2019-09-09 17:44:25,question,57858851,https://stackoverflow.com/q/57858851
13,https://stackoverflow.com/users/9947192/rebas,0,2019-10-07 19:43:59,2019-10-07 19:43:59,2019-09-26 17:12:35,question,58121717,https://stackoverflow.com/q/58121717
14,https://stackoverflow.com/users/11887943/ranjith-kumar,2,2019-08-06 07:44:45,2019-10-07 19:43:15,2019-08-06 06:47:39,question,57370374,https://stackoverflow.com/q/57370374
15,https://stackoverflow.com/users/5811508/denis-candido,0,no_value,2019-10-07 19:42:33,2019-09-30 19:16:03,question,58173994,https://stackoverflow.com/q/58173994
16,https://stackoverflow.com/users/4434777/paulie,1,no_value,2019-10-07 19:42:17,2019-09-11 22:20:48,question,57897511,https://stackoverflow.com/q/57897511
17,https://stackoverflow.com/users/216074/poke,27,2019-10-07 19:41:23,2019-10-07 19:41:23,2019-04-13 15:07:24,answer,55666898,https://stackoverflow.com/a/55666898
18,https://stackoverflow.com/users/949283/neilmacmullen,15,no_value,2019-10-07 19:41:23,2019-04-13 14:58:41,question,55666826,https://stackoverflow.com/q/55666826
19,https://stackoverflow.com/users/7682312/ashok-sachdev,0,2019-10-07 19:39:49,2019-10-07 19:39:49,2019-09-26 09:00:34,question,58113157,https://stackoverflow.com/q/58113157
20,https://stackoverflow.com/users/4258383/matrixstyle,-1,2019-10-07 19:38:48,2019-10-07 19:38:48,2019-03-12 14:30:48,question,55123969,https://stackoverflow.com/q/55123969
21,https://stackoverflow.com/users/7952086/jeanluc-rotolo,0,2019-10-07 19:38:18,2019-10-07 19:38:18,2019-09-29 15:49:51,question,58156820,https://stackoverflow.com/q/58156820
22,https://stackoverflow.com/users/10642829/mehdi,1,2019-02-27 09:03:39,2019-10-07 19:37:34,2019-02-27 08:56:48,question,54901493,https://stackoverflow.com/q/54901493
23,https://stackoverflow.com/users/6283242/laurentiu-ilina,0,2019-10-07 19:37:09,2019-10-07 19:37:09,2019-09-29 18:55:41,question,58158269,https://stackoverflow.com/q/58158269
24,https://stackoverflow.com/users/11124340/newtoangular,0,2019-10-07 19:37:00,2019-10-07 19:37:00,2019-03-12 14:43:03,question,55124239,https://stackoverflow.com/q/55124239
25,https://stackoverflow.com/users/884986/iadjunct,0,no_value,2019-10-07 19:35:05,2019-08-20 16:07:51,question,57577642,https://stackoverflow.com/q/57577642
26,https://stackoverflow.com/users/5766416/wboy,2,no_value,2019-10-07 19:34:45,2019-02-20 13:55:51,question,54788058,https://stackoverflow.com/q/54788058
27,https://stackoverflow.com/users/8416979/leandro,1,2019-10-07 19:34:06,2019-10-07 19:34:06,2019-04-17 13:21:58,question,55728544,https://stackoverflow.com/q/55728544
28,https://stackoverflow.com/users/750376/alexandros-biratsis,0,2019-10-07 19:33:29,2019-10-07 19:33:29,2019-09-30 17:13:39,answer,58172420,https://stackoverflow.com/a/58172420
29,https://stackoverflow.com/users/3517647/josh,0,2019-09-30 04:12:58,2019-10-07 19:33:29,2019-09-30 04:07:27,question,58161414,https://stackoverflow.com/q/58161414
